state,pincode,total_updates,state_contribution_pct,is_hotspot
dadraandnagarhavelianddamananddiu,396230,21712.0,60.19740490185206,True
lakshadweep,682551,1044.0,24.97010284620904,True
ladakh,194101,1617.0,22.171945701357465,True
chandigarh,160101,16916.0,15.72703607288955,True
meghalaya,794104,18469.0,15.582761006395437,True
andamanandnicobarislands,744101,2675.0,14.157933735577434,True
sikkim,737121,3654.0,12.852168407723962,True
nagaland,797112,10629.0,10.208217283571196,True
puducherry,605110,4987.0,7.923041481975755,True
arunachalpradesh,792103,4938.0,7.140378275203887,True
mizoram,796321,9092.0,7.057471978141399,True
delhi,110094,117277.0,6.441603894941168,True
goa,403401,3885.0,5.89341787897635,True
uttarakhand,248001,38054.0,5.736977074102495,True
manipur,795133,18683.0,5.730243342882205,True
tripura,799102,15889.0,5.332899245828901,True
uttarakhand,244713,30976.0,4.669905971708595,True
uttarakhand,263139,30178.0,4.54960041368227,True
punjab,143001,66044.0,3.6490998529729466,True
haryana,132103,63313.0,3.495040049461499,True
haryana,121004,60928.0,3.3633819299921064,True
jammuandkashmir,192231,23430.0,3.095210416182283,True
punjab,147001,49377.0,2.7282054908885773,True
jammuandkashmir,191111,17428.0,2.3023186996681533,True
jammuandkashmir,193224,16675.0,2.202843947496354,True
himachalpradesh,173025,7710.0,2.119774110712145,True
haryana,125001,37659.0,2.078873426036842,True
himachalpradesh,174101,7356.0,2.022445960881782,True
haryana,124001,34835.0,1.9229813801745506,True
chhatisgarh,491995,47357.0,1.7104763198157655,True
assam,782124,18912.0,1.6712220546169367,True
chhatisgarh,497001,45328.0,1.63719134709988,True
gujarat,395010,55334.0,1.6349717424146841,True
punjab,141008,29110.0,1.608401924778064,True
himachalpradesh,173001,5826.0,1.6017903980556365,True
punjab,151001,28807.0,1.591660400105864,True
gujarat,394210,53719.0,1.5872528107632635,True
jharkhand,833201,35246.0,1.5413700377011608,True
jharkhand,831002,34537.0,1.5103642113171702,True
punjab,143505,27215.0,1.5036983298809694,True
chhatisgarh,493445,41452.0,1.4971950167663304,True
himachalpradesh,173027,5383.0,1.479992741629504,True
jharkhand,822114,33194.0,1.4516324414529969,True
assam,783384,16214.0,1.4328042720790508,True
gujarat,395006,44317.0,1.309448850771525,True
jharkhand,835302,28138.0,1.2305246019643437,True
punjab,146001,21786.0,1.2037321996982104,True
himachalpradesh,174303,4367.0,1.2006554528508349,True
assam,781308,13256.0,1.1714107210238003,True
telangana,500005,23159.0,1.1393243259198622,True
assam,782446,12625.0,1.1156502981989649,True
gujarat,395004,36490.0,1.0781819293872092,True
assam,783348,12142.0,1.072968389760937,True
