month,total_updates,total_enrolments,monthly_intensity_idx
1.0,1385222.5833333333,36624.055555555555,66.75374532930265
2.0,15892.444444444445,2125.277777777778,0.7718745979848279
3.0,85001.52777777778,1997.75,4.240094364734654
4.0,26480.083333333332,1812.25,1.322234402427212
5.0,17274.527777777777,722.9444444444445,0.8307135293797647
6.0,25316.11111111111,1634.8333333333333,1.0572132726141588
7.0,14155.916666666666,407.05555555555554,0.5286994717353943
8.0,23362.083333333332,2312.1666666666665,1.0811822054212055
9.0,76033.83333333333,2546.8055555555557,3.432041175783547
10.0,204322.72222222222,10191.222222222223,10.324174374686937
11.0,141737.69444444444,32335.083333333332,6.376529629581416
12.0,71383.16666666667,22056.777777777777,3.279854005456648
