state,pincode,total_updates,state_contribution_pct,is_hotspot,district
dadraandnagarhavelianddamananddiu,396230,21712.0,60.19740490185206,True,dadraandnagarhaveli
lakshadweep,682551,1044.0,24.97010284620904,True,lakshadweep
ladakh,194101,1617.0,22.171945701357465,True,leh
chandigarh,160101,16916.0,15.72703607288955,True,chandigarh
meghalaya,794104,18469.0,15.582761006395437,True,"westgarohills, ribhoi, northgarohills"
andamanandnicobarislands,744101,2675.0,14.157933735577434,True,"northandmiddleandaman, southandaman"
sikkim,737121,3654.0,12.852168407723962,True,"southsikkim, westsikkim, namchi"
nagaland,797112,10629.0,10.208217283571196,True,"dimapur, niuland, chumukedima, wokha, peren, kohima"
puducherry,605110,4987.0,7.923041481975755,True,puducherry
arunachalpradesh,792103,4938.0,7.140378275203887,True,"changlang, namsai, lohit"
mizoram,796321,9092.0,7.057471978141399,True,champhai
delhi,110094,117277.0,6.441603894941168,True,"northeastdelhi, northwestdelhi, eastdelhi"
goa,403401,3885.0,5.89341787897635,True,"northgoa, southgoa"
uttarakhand,248001,38054.0,5.736977074102495,True,dehradun
manipur,795133,18683.0,5.730243342882205,True,"bishnupur, churachandpur"
tripura,799102,15889.0,5.332899245828901,True,"sepahijala, westtripura"
uttarakhand,244713,30976.0,4.669905971708595,True,"nainital, udhamsinghnagar"
uttarakhand,263139,30178.0,4.54960041368227,True,nainital
punjab,143001,66044.0,3.6490998529729466,True,amritsar
haryana,132103,63313.0,3.495040049461499,True,panipat
haryana,121004,60928.0,3.3633819299921064,True,"faridabad, palwal"
jammuandkashmir,192231,23430.0,3.095210416182283,True,"anantnag, kulgam, baramula"
punjab,147001,49377.0,2.7282054908885773,True,"fatehgarhsahib, patiala"
jammuandkashmir,191111,17428.0,2.3023186996681533,True,budgam
jammuandkashmir,193224,16675.0,2.202843947496354,True,kupwara
himachalpradesh,173025,7710.0,2.119774110712145,True,sirmaur
haryana,125001,37659.0,2.078873426036842,True,hisar
himachalpradesh,174101,7356.0,2.022445960881782,True,solan
haryana,124001,34835.0,1.9229813801745506,True,"rohtak, jhajjar"
chhatisgarh,491995,47357.0,1.7104763198157655,True,kawardha
assam,782124,18912.0,1.6712220546169367,True,"nagaon, karbianglong"
chhatisgarh,497001,45328.0,1.63719134709988,True,"balrampur, surajpur, surguja"
gujarat,395010,55334.0,1.6349717424146841,True,surat
punjab,141008,29110.0,1.608401924778064,True,ludhiana
himachalpradesh,173001,5826.0,1.6017903980556365,True,sirmaur
punjab,151001,28807.0,1.591660400105864,True,bathinda
gujarat,394210,53719.0,1.5872528107632635,True,surat
jharkhand,833201,35246.0,1.5413700377011608,True,"westsinghbhum, eastsinghbhum, seraikelakharsawan"
jharkhand,831002,34537.0,1.5103642113171702,True,"eastsinghbhum, seraikelakharsawan, westsinghbhum"
punjab,143505,27215.0,1.5036983298809694,True,gurdaspur
chhatisgarh,493445,41452.0,1.4971950167663304,True,"mahasamund, gariyaband, balod, raipur, balodabazar"
