state,month,total_updates,total_enrolments,monthly_intensity_idx,is_peak_month
andamanandnicobarislands,1.0,12787.0,27.0,67.67398782746758,True
andamanandnicobarislands,2.0,228.0,10.0,1.2066684308017994,False
andamanandnicobarislands,3.0,839.0,12.0,4.440328129134691,False
andamanandnicobarislands,4.0,209.0,17.0,1.1061127282349827,False
andamanandnicobarislands,5.0,172.0,5.0,0.910293728499603,False
andamanandnicobarislands,6.0,29.0,0.0,0.1534797565493517,False
andamanandnicobarislands,7.0,33.0,0.0,0.17464937814236572,False
andamanandnicobarislands,8.0,244.0,13.0,1.2913469171738556,False
andamanandnicobarislands,9.0,585.0,13.0,3.096057157978301,False
andamanandnicobarislands,10.0,2021.0,34.0,10.695951309870336,True
andamanandnicobarislands,11.0,1107.0,118.0,5.858692775866632,False
andamanandnicobarislands,12.0,640.0,134.0,3.3871394548822438,False
andhrapradesh,1.0,2710755.0,2695.0,68.07656405036664,True
andhrapradesh,2.0,23743.0,2256.0,0.5962699912931472,False
andhrapradesh,3.0,147759.0,2154.0,3.7107466471584942,False
andhrapradesh,4.0,36662.0,1839.0,0.9207113852836356,False
andhrapradesh,5.0,47126.0,776.0,1.1834991201482903,False
andhrapradesh,6.0,51343.0,1966.0,1.2894027782068,False
andhrapradesh,7.0,23478.0,171.0,0.5896149119985052,False
andhrapradesh,8.0,26644.0,2440.0,0.6691242744393975,False
andhrapradesh,9.0,85067.0,2280.0,2.136330680593613,False
andhrapradesh,10.0,477143.0,10942.0,11.982733961823953,True
andhrapradesh,11.0,237127.0,36256.0,5.955090520379485,False
andhrapradesh,12.0,115073.0,25077.0,2.8898865648012606,False
arunachalpradesh,1.0,42269.0,602.0,61.12034935002965,True
arunachalpradesh,2.0,625.0,122.0,0.9037407637693944,False
arunachalpradesh,3.0,3391.0,94.0,4.903335887907226,False
arunachalpradesh,4.0,1097.0,109.0,1.5862457885680408,False
arunachalpradesh,5.0,844.0,69.0,1.22041152739419,False
arunachalpradesh,6.0,420.0,58.0,0.6073137932530329,False
arunachalpradesh,7.0,150.0,58.0,0.21689778330465462,False
arunachalpradesh,8.0,673.0,108.0,0.9731480544268837,False
arunachalpradesh,9.0,3546.0,117.0,5.127463597322035,False
arunachalpradesh,10.0,9256.0,320.0,13.384039215119223,True
arunachalpradesh,11.0,4971.0,910.0,7.187992538716255,False
arunachalpradesh,12.0,1914.0,432.0,2.767615714967393,False
assam,1.0,590015.0,99665.0,52.13860031741879,True
assam,2.0,12082.0,3619.0,1.0676653458557053,False
assam,3.0,52766.0,2654.0,4.66283973178465,False
assam,4.0,18256.0,2879.0,1.6132509976776823,False
assam,5.0,12208.0,2342.0,1.0787997469132966,False
assam,6.0,10716.0,2737.0,0.946954299469437,False
